,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Recognized in State,State Rank,Tied in State?,Region,Recognized in Region,Region Rank,Tied in Region?,Metro,Recognized in Metro,Metro Rank,Tied in Metro?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated,Name (Specialty),Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated_Spec
0,NYU Langone Hospitals,6212925,6212925,550 First Avenue,New York,New York,NY,10016-6402,40.7421,-73.9743,"New York, NY",,(212) 263-7300,https://health.usnews.com/best-hospitals/area/ny/nyu-langone-medical-center-6212925,,,,,,,,"New York, NY",True,1.0,False,0,14,3,2023-01-04 20:48:35.731110,Perlmutter Cancer Center at NYU Langone Hospitals,IHQCANC,62.9/100,19.0,False,False,adult,2023-01-04 20:29:21.680567
1,New York-Presbyterian Hospital-Columbia and Cornell,6210024,6210024,525 East 68th Street,New York,New York,NY,10065-4870,40.7647,-73.954,"New York, NY",,(877) 697-9355,https://health.usnews.com/best-hospitals/area/ny/new-york-presbyterian-university-hospital-of-columbia-and-cornell-6210024,,,,,,,,"New York, NY",True,2.0,False,1,14,10,2023-01-04 20:48:35.731110,New York-Presbyterian Hospital-Columbia and Cornell,IHQCANC,67.6/100,12.0,False,False,adult,2023-01-04 20:29:21.680567
2,Mount Sinai Hospital,6213140,6213140,One Gustave L Levy Place,New York,New York,NY,10029-0310,40.79,-73.9537,"New York, NY",,(212) 241-6500,https://health.usnews.com/best-hospitals/area/ny/mount-sinai-medical-center-6213140,,,,,,,,"New York, NY",True,3.0,False,1,11,3,2023-01-04 20:48:35.731110,Mount Sinai Hospital,IHQCANC,59.0/100,28.0,False,False,adult,2023-01-04 20:29:21.680567
3,Lenox Hill Hospital at Northwell Health,6212990,6212990,100 East 77th Street,New York,New York,NY,10075-1850,40.7738,-73.9608,"New York, NY",,(212) 434-2000,https://health.usnews.com/best-hospitals/area/ny/lenox-hill-hospital-6212990,,,,,,,,"New York, NY",True,4.0,False,2,9,0,2023-01-04 20:48:35.731110,Lenox Hill Hospital at Northwell Health,IHQCANC,54.1/100,50.0,False,False,adult,2023-01-04 20:29:21.680567
4,North Shore University Hospital at Northwell Health,6212357,6212357,300 Community Drive,Manhasset,New York,NY,11030-3816,40.7776,-73.7017,"New York, NY",,(516) 562-0100,https://health.usnews.com/best-hospitals/area/ny/north-shore-university-hospital-6212357,,,,,,,,"New York, NY",True,5.0,False,0,11,0,2023-01-04 20:48:35.731110,North Shore University Hospital at Northwell Health,IHQCANC,55.5/100,41.0,True,False,adult,2023-01-04 20:29:21.680567
5,St. Francis Hospital & Heart Center,6214410,6214410,100 Port Washington Boulevard,Roslyn,New York,NY,11576-1353,40.8043,-73.6705,"New York, NY",,(516) 562-6000,https://health.usnews.com/best-hospitals/area/ny/st-francis-hospital-6214410,,,,,,,,"New York, NY",True,6.0,False,4,5,0,2023-01-04 20:48:35.731110,St. Francis Hospital and Heart Center,IHQCANC,50.6/100,,,,adult,2023-01-04 20:29:21.680567
6,Long Island Jewish Medical Center at Northwell Health,6211680,6211680,270-05 76th Avenue,New Hyde Park,New York,NY,11040-1496,40.7532,-73.7069,"New York, NY",,(718) 470-7000,https://health.usnews.com/best-hospitals/area/ny/long-island-jewish-medical-center-6211680,,,,,,,,"New York, NY",True,7.0,True,4,6,9,2023-01-04 20:48:35.731110,Long Island Jewish Medical Center at Northwell Health,IHQCANC,53.3/100,,,,adult,2023-01-04 20:29:21.680567
7,Montefiore Medical Center,6213100,6213100,111 East 210th Street,Bronx,New York,NY,10467-2401,40.8808,-73.8795,"New York, NY",,(718) 920-4321,https://health.usnews.com/best-hospitals/area/ny/montefiore-medical-center-6213100,,,,,,,,"New York, NY",True,7.0,True,4,6,3,2023-01-04 20:48:35.731110,Montefiore Medical Center,IHQCANC,57.3/100,35.0,True,False,adult,2023-01-04 20:29:21.680567
8,Morristown Medical Center,6220680,6220680,100 Madison Avenue,Morristown,New Jersey,NJ,07960-6136,40.7895,-74.4656,"New York, NY",,(973) 971-5000,https://health.usnews.com/best-hospitals/area/nj/morristown-medical-center-6220680,,,,,,,,"New York, NY",True,9.0,False,4,3,0,2023-01-04 20:48:35.731110,Morristown Medical Center,IHQCANC,44.7/100,,,,adult,2023-01-04 20:29:21.680567
9,Hackensack University Medical Center at Hackensack Meridian Health,6220340,6220340,30 Prospect Avenue,Hackensack,New Jersey,NJ,07601-1914,40.8839,-74.0556,"New York, NY",,(551) 996-2000,https://health.usnews.com/best-hospitals/area/nj/hackensack-university-medical-center-6220340,,,,,,,,"New York, NY",True,10.0,False,4,4,1,2023-01-04 20:48:35.731110,Hackensack University Medical Center at Hackensack Meridian Health,IHQCANC,47.3/100,,,,adult,2023-01-04 20:29:21.680567
10,Stony Brook University Hospital,6214775,6214775,101 Nicolls Road,Stony Brook,New York,NY,11794-8410,40.9124,-73.1234,"New York, NY",,(631) 444-1077,https://health.usnews.com/best-hospitals/area/ny/stony-brook-university-hospital-6214775,,,,,,,,"New York, NY",True,11.0,False,1,2,0,2023-01-04 20:48:35.731110,Stony Brook University Hospital,IHQCANC,45.0/100,,,,adult,2023-01-04 20:29:21.680567
11,Huntington Hospital at Northwell Health,6211880,6211880,270 Park Avenue,Huntington,New York,NY,11743-2799,40.8793,-73.4159,"New York, NY",,(631) 351-2200,https://health.usnews.com/best-hospitals/area/ny/huntington-hospital-6211880,,,,,,,,"New York, NY",True,12.0,True,5,1,0,2023-01-04 20:48:35.731110,Huntington Hospital at Northwell Health,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
12,New York-Presbyterian Brooklyn Methodist Hospital,6210555,6210555,506 Sixth Street,Brooklyn,New York,NY,11215-3609,40.668,-73.9794,"New York, NY",,(718) 780-3000,https://health.usnews.com/best-hospitals/area/ny/new-york-methodist-hospital-6210555,,,,,,,,"New York, NY",True,12.0,True,5,2,0,2023-01-04 20:48:35.731110,New York-Presbyterian Brooklyn Methodist Hospital,IHQCANC,37.3/100,,,,adult,2023-01-04 20:29:21.680567
13,Mount Sinai Morningside and Mount Sinai West Hospitals,6213335,6213335,1111 Amsterdam Avenue,New York,New York,NY,10025-1716,40.8056,-73.9613,"New York, NY",,(212) 523-4000,https://health.usnews.com/best-hospitals/area/ny/st-lukes-roosevelt-hospital-center-6213335,,,,,,,,"New York, NY",True,14.0,False,3,2,0,2023-01-04 20:48:35.731110,Mount Sinai Morningside and Mount Sinai West Hospitals,IHQCANC,45.1/100,,,,adult,2023-01-04 20:29:21.680567
14,South Shore University Hospital at Northwell Health,6210280,6210280,301 East Main Street,Bay Shore,New York,NY,11706-8458,40.7258,-73.2415,"New York, NY",,(631) 968-3000,https://health.usnews.com/best-hospitals/area/ny/southside-hospital-6210280,,,,,,,,"New York, NY",True,15.0,False,1,0,0,2023-01-04 20:48:35.731110,South Shore University Hospital at Northwell Health,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
15,Valley Hospital,6221235,6221235,223 North Van Dien Avenue,Ridgewood,New Jersey,NJ,07450-2726,40.9836,-74.1007,"New York, NY",,(201) 447-8000,https://health.usnews.com/best-hospitals/area/nj/valley-hospital-6221235,,,,,,,,"New York, NY",True,16.0,True,1,0,0,2023-01-04 20:48:35.731110,Valley Hospital,IHQCANC,35.0/100,,,,adult,2023-01-04 20:29:21.680567
16,White Plains Hospital,6215330,6215330,41 East Post Road,White Plains,New York,NY,10601-4699,41.026,-73.7694,"New York, NY",,(914) 681-0600,https://health.usnews.com/best-hospitals/area/ny/white-plains-hospital-6215330,,,,,,,,"New York, NY",True,16.0,True,3,0,0,2023-01-04 20:48:35.731110,White Plains Hospital,IHQCANC,32.8/100,,,,adult,2023-01-04 20:29:21.680567
17,Mount Sinai Beth Israel Hospital,6212655,6212655,First Avenue and 16th Street,New York,New York,NY,10003-3803,40.7327,-73.9816,"New York, NY",,(212) 420-2000,https://health.usnews.com/best-hospitals/area/ny/beth-israel-medical-center-6212655,,,,,,,,"New York, NY",True,18.0,True,3,2,0,2023-01-04 20:48:35.731110,Mount Sinai Beth Israel Hospital,IHQCANC,43.1/100,,,,adult,2023-01-04 20:29:21.680567
18,Northern Westchester Hospital at Northwell Health,6212500,6212500,400 East Main Street,Mount Kisco,New York,NY,10549-3477,41.1968,-73.7257,"New York, NY",,(914) 666-1200,https://health.usnews.com/best-hospitals/area/ny/northern-westchester-hospital-6212500,,,,,,,,"New York, NY",True,18.0,True,4,0,0,2023-01-04 20:48:35.731110,Northern Westchester Hospital at Northwell Health,IHQCANC,33.7/100,,,,adult,2023-01-04 20:29:21.680567
19,Robert Wood Johnson University Hospital,6220920,6220920,1 Robert Wood Johnson Place,New Brunswick,New Jersey,NJ,08901-1928,40.4953,-74.4498,"New York, NY",,(732) 828-3000,https://health.usnews.com/best-hospitals/area/nj/robert-wood-johnson-university-hospital-6220920,,,,,,,,"New York, NY",True,20.0,False,2,0,0,2023-01-04 20:48:35.731110,Rutgers Cancer Institute of New Jersey/Robert Wood Johnson University Hospital,IHQCANC,47.6/100,,,,adult,2023-01-04 20:29:21.680567
20,Staten Island University Hospital at Northwell Health,6214735,6214735,475 Seaview Avenue,Staten Island,New York,NY,10305-3436,40.5839,-74.0867,"New York, NY",,(718) 226-9000,https://health.usnews.com/best-hospitals/area/ny/staten-island-university-hospital-6214735,,,,,,,,"New York, NY",True,21.0,False,3,0,0,2023-01-04 20:48:35.731110,Staten Island University Hospital at Northwell Health,IHQCANC,41.9/100,,,,adult,2023-01-04 20:29:21.680567
21,New York-Presbyterian Queens Hospital,6211595,6211595,56-45 Main Street,Flushing,New York,NY,11355-5045,40.7471,-73.8256,"New York, NY",,(718) 670-2000,https://health.usnews.com/best-hospitals/area/ny/new-york-hospital-queens-6211595,,,,,,,,"New York, NY",True,22.0,True,1,0,0,2023-01-04 20:48:35.731110,New York-Presbyterian Queens Hospital,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
22,Overlook Medical Center,6221370,6221370,99 Beauvoir Avenue,Summit,New Jersey,NJ,07901-3533,40.7129,-74.3526,"New York, NY",,(908) 522-2000,https://health.usnews.com/best-hospitals/area/nj/overlook-medical-center-6221370,,,,,,,,"New York, NY",True,22.0,True,2,0,0,2023-01-04 20:48:35.731110,Overlook Medical Center,IHQCANC,36.6/100,,,,adult,2023-01-04 20:29:21.680567
23,Cooperman Barnabas Medical Center,6220800,6220800,94 Old Short Hills Rd,Livingston,New Jersey,NJ,07039-5672,40.7635,-74.3049,"New York, NY",,(973) 322-5000,https://health.usnews.com/best-hospitals/area/nj/st-barnabas-medical-center-6220800,,,,,,,,"New York, NY",True,24.0,True,1,0,0,2023-01-04 20:48:35.731110,Cooperman Barnabas Medical Center,IHQCANC,39.7/100,,,,adult,2023-01-04 20:29:21.680567
24,Englewood Hospital,6220280,6220280,350 Engle Street,Englewood,New Jersey,NJ,07631-1898,40.9042,-73.9687,"New York, NY",,(201) 894-3000,https://health.usnews.com/best-hospitals/area/nj/englewood-hospital-and-medical-center-6220280,,,,,,,,"New York, NY",True,24.0,True,1,0,0,2023-01-04 20:48:35.731110,Englewood Hospital,IHQCANC,34.9/100,,,,adult,2023-01-04 20:29:21.680567
25,Good Samaritan University Hospital,6215295,6215295,1000 Montauk Highway,West Islip,New York,NY,11795-4927,40.6941,-73.2942,"New York, NY",,(631) 376-3000,https://health.usnews.com/best-hospitals/area/ny/good-samaritan-hospital-medical-center-6215295,,,,,,,,"New York, NY",True,24.0,True,0,0,0,2023-01-04 20:48:35.731110,Good Samaritan University Hospital,IHQCANC,36.5/100,,,,adult,2023-01-04 20:29:21.680567
26,Jersey Shore University Medical Center at Hackensack Meridian Health,6220740,6220740,1945 Route 33,Neptune,New Jersey,NJ,07754-0397,40.2075,-74.0408,"New York, NY",,(732) 775-5500,https://health.usnews.com/best-hospitals/area/nj/jersey-shore-university-medical-center-6220740,,,,,,,,"New York, NY",True,24.0,True,0,0,1,2023-01-04 20:48:35.731110,Jersey Shore University Medical Center at Hackensack Meridian Health,IHQCANC,31.6/100,,,,adult,2023-01-04 20:29:21.680567
27,Penn Medicine Princeton Medical Center,6221190,6221190,One Plainsboro Road,Plainsboro,New Jersey,NJ,08536,40.3398191,-74.6240079,"New York, NY",,(609) 853-7000,https://health.usnews.com/best-hospitals/area/nj/university-medical-center-of-princeton-at-plainsboro-6221190,,,,,,,,"New York, NY",True,24.0,True,1,0,0,2023-01-04 20:48:35.731110,Penn Medicine Princeton Medical Center,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
28,Ocean University Medical Center at Hackensack Meridian Health,6221170,6221170,425 Jack Martin Boulevard,Brick Township,New Jersey,NJ,08724-7732,40.0772,-74.131,"New York, NY",,(732) 840-2200,https://health.usnews.com/best-hospitals/area/nj/ocean-medical-center-6221170,,,,,,,,"New York, NY",True,29.0,False,0,0,0,2023-01-04 20:48:35.731110,Ocean University Medical Center at Hackensack Meridian Health,IHQCANC,34.4/100,,,,adult,2023-01-04 20:29:21.680567
29,Mount Sinai South Nassau Hospital,6213735,6213735,One Healthy Way,Oceanside,New York,NY,11572-1551,40.6512,-73.631,"New York, NY",,(516) 632-3000,https://health.usnews.com/best-hospitals/area/ny/south-nassau-communities-hospital-6213735,,,,,,,,"New York, NY",True,30.0,False,1,0,0,2023-01-04 20:48:35.731110,Mount Sinai South Nassau Hospital,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
30,Maimonides Medical Center,6210747,6210747,4802 Tenth Avenue,Brooklyn,New York,NY,11219-2916,40.6395,-73.9984,"New York, NY",,(718) 283-6000,https://health.usnews.com/best-hospitals/area/ny/maimonides-medical-center-6210747,,,,,,,,"New York, NY",True,31.0,False,0,0,0,2023-01-04 20:48:35.731110,Maimonides Medical Center,IHQCANC,29.1/100,,,,adult,2023-01-04 20:29:21.680567
31,Arms Acres Hospital,6211215,6211215,75 Seminary Hill Road,Carmel,New York,NY,10512-1921,41.4135,-73.6762,"New York, NY",,(845) 225-3400,https://health.usnews.com/best-hospitals/area/ny/arms-acres-6211215,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
32,Barnabas Health Behavioral Health Center,6220233,6220233,1691 Highway 9,Toms River,New Jersey,NJ,08754,40.012,-74.2147,"New York, NY",,(732) 914-1688,https://health.usnews.com/best-hospitals/area/nj/barnabas-health-behavioral-health-network-6220233,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
33,Bayshore Medical Center at Hackensack Meridian Health,6220395,6220395,727 North Beers Street,Holmdel,New Jersey,NJ,07733-1598,40.4053,-74.1917,"New York, NY",,(732) 739-5900,https://health.usnews.com/best-hospitals/area/nj/bayshore-community-hospital-6220395,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
34,Bergen New Bridge Medical Center,6221230,6221230,230 East Ridgewood Avenue,Paramus,New Jersey,NJ,07652-4142,40.9561,-74.063,"New York, NY",,(201) 967-4000,https://health.usnews.com/best-hospitals/area/nj/bergen-regional-medical-center-6221230,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
35,Blythedale Children's Hospital,6215140,6215140,95 Bradhurst Avenue,Valhalla,New York,NY,10595-1697,41.0747,-73.7997,"New York, NY",,(914) 592-7555,https://health.usnews.com/best-hospitals/area/ny/blythedale-childrens-hospital-6215140,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
36,Bristol-Myers Squibb Children's Hospital at RWJ University Hospital,6220920,PA6220920,1 Robert Wood Johnson Place,New Brunswick,New Jersey,NJ,08901-1928,40.4953,-74.4498,"New York, NY",,(732) 828-3000,https://health.usnews.com/best-hospitals/area/nj/bristol-myers-squibb-childrens-hospital-at-rwj-univ-hosp-PA6220920,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
37,BronxCare Health System-Bronx,6212675,6212675,1276 Fulton Avenue,Bronx,New York,NY,10456-3499,40.8313,-73.9037,"New York, NY",,(718) 590-1800,https://health.usnews.com/best-hospitals/area/ny/bronx-lebanon-hospital-center-6212675,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
38,Bronx Psychiatric Center,6212692,6212692,1500 Waters Place,Bronx,New York,NY,10461-2796,40.8478,-73.8397,"New York, NY",,(718) 931-0600,https://health.usnews.com/best-hospitals/area/ny/bronx-psychiatric-center-6212692,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
39,Brookdale Hospital Medical Center,6210440,6210440,"125 Worth Street, 4th Fl Ste 418",New York,New York,NY,10013,40.7157,-74.0023,"New York, NY",,(718) 240-5000,https://health.usnews.com/best-hospitals/area/ny/brookdale-hospital-medical-center-6210440,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
40,Brooklyn Hospital Center,6210545,6210545,121 DeKalb Avenue,Brooklyn,New York,NY,11201-5425,40.6898,-73.9779,"New York, NY",,(718) 250-8000,https://health.usnews.com/best-hospitals/area/ny/brooklyn-hospital-center-6210545,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
41,Brunswick Psych Center,6210145,6210145,81 Louden Avenue,Amityville,New York,NY,11701-2736,40.6848,-73.4213,"New York, NY",,(631) 789-7421,https://health.usnews.com/best-hospitals/area/ny/brunswick-psych-center-6210145,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
42,Burke Rehabilitation Hospital,6215315,6215315,785 Mamaroneck Avenue,White Plains,New York,NY,10605-2523,41.0166,-73.7521,"New York, NY",,(914) 597-2500,https://health.usnews.com/best-hospitals/area/ny/burke-rehabilitation-hospital-6215315,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
43,Calvary Hospital,6212928,6212928,1740 Eastchester Road,Bronx,New York,NY,10461-2392,40.848,-73.8449,"New York, NY",,(718) 863-6900,https://health.usnews.com/best-hospitals/area/ny/calvary-hospital-6212928,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
44,CareOne at Hacksensack University Medical Center at Pascack Valley,6220478,6220478,250 Old Hook Road,Westwood,New Jersey,NJ,07675-3123,40.9857,-74.0155,"New York, NY",,(201) 781-1555,https://health.usnews.com/best-hospitals/area/nj/careone-at-hacksensack-university-medical-center-at-pascack-valley-6220478,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
45,CareOne at Trinitas Regional Medical Center,6229151,6229151,225 Williamson Street,Elizabeth,New Jersey,NJ,07202-3625,40.6598,-74.214,"New York, NY",,(908) 994-5288,https://health.usnews.com/best-hospitals/area/nj/careone-at-trinitas-regional-medical-center-6229151,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
46,CarePoint Health Bayonne Medical Center,6220070,6220070,29th Street & Avenue E,Bayonne,New Jersey,NJ,07002-4699,40.6674,-74.112,"New York, NY",,(201) 858-5000,https://health.usnews.com/best-hospitals/area/nj/bayonne-medical-center-6220070,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
47,CarePoint Health Christ Hospital,6220420,6220420,176 Palisade Avenue,Jersey City,New Jersey,NJ,07306-1196,40.7346,-74.0503,"New York, NY",,(201) 795-8200,https://health.usnews.com/best-hospitals/area/nj/christ-hospital-6220420,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
48,CarePoint Health Hoboken University Medical Center,6220390,6220390,308 Willow Avenue,Hoboken,New Jersey,NJ,07030-3889,40.7411,-74.0341,"New York, NY",,(201) 418-1000,https://health.usnews.com/best-hospitals/area/nj/hoboken-university-medical-center-6220390,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
49,CareWell Health Medical Center,6220240,6220240,300 Central Avenue,East Orange,New Jersey,NJ,07018-2897,40.7547,-74.2137,"New York, NY",,(973) 672-8400,https://health.usnews.com/best-hospitals/area/nj/east-orange-general-hospital-6220240,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
50,Carrier Clinic at Hackensack Meridian Health-Belle Mead,6220090,6220090,252 County Route 601,Belle Mead,New Jersey,NJ,08502-0147,40.4673,-74.6824,"New York, NY",,(908) 281-1000,https://health.usnews.com/best-hospitals/area/nj/carrier-clinic-6220090,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
51,CentraState Medical Center,6220322,6220322,901 West Main Street,Freehold,New Jersey,NJ,07728-2549,40.2368,-74.3131,"New York, NY",,(732) 431-2000,https://health.usnews.com/best-hospitals/area/nj/centrastate-medical-center-6220322,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,CentraState Medical Center,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
52,Children's Hospital at Downstate-University Hospital at Brooklyn,6210469,PA6210469,450 Clarkson Avenue,Brooklyn,New York,NY,11203-2012,40.6557,-73.9458,"New York, NY",,(718) 270-1000,https://health.usnews.com/best-hospitals/area/ny/suny-downstate-medical-center-university-hospital-PA6210469,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
53,Children's Hospital at Monmouth Medical Center,6220560,PA6220560,300 Second Avenue,Long Branch,New Jersey,NJ,07740-6303,40.2951,-73.9856,"New York, NY",,(732) 222-5200,https://health.usnews.com/best-hospitals/area/nj/childrens-hospital-at-monmouth-medical-center-PA6220560,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
54,Children's Hospital at Montefiore,6213100,PA6213100,111 East 210th Street,Bronx,New York,NY,10467-2401,40.8808,-73.8795,"New York, NY",,(718) 741-2426,https://health.usnews.com/best-hospitals/area/ny/childrens-hospital-at-montefiore-PA6213100,,,,,,,,"New York, NY",False,,False,0,0,3,2023-01-04 20:48:35.731110,,,,,,,,
55,Children's Hospital at St. Peter's University Hospital,6220950,PA6220950,254 Easton Avenue,New Brunswick,New Jersey,NJ,08901-1780,40.5015,-74.4595,"New York, NY",,(732) 745-8600,https://health.usnews.com/best-hospitals/area/nj/childrens-hospital-at-st-peters-university-hospital-PA6220950,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
