,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Recognized in State,State Rank,Tied in State?,Region,Recognized in Region,Region Rank,Tied in Region?,Metro,Recognized in Metro,Metro Rank,Tied in Metro?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated,Name (Specialty),Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated_Spec
120,New York Eye and Ear Infirmary of Mount Sinai,6213190,6213190,310 East 14th Street,New York,New York,NY,10003-4201,40.7319,-73.9846,"New York, NY",,(212) 979-4000,https://health.usnews.com/best-hospitals/area/ny/new-york-eye-and-ear-infirmary-6213190,,,,,,,,"New York, NY",False,,False,0,1,0,2023-01-04 20:48:35.731110,,,,,,,,
121,New York-Presbyterian Hospital-Columbia and Cornell,6210024,PA6210024,525 East 68th Street,New York,New York,NY,10065-4870,40.7647,-73.954,"New York, NY",,(212) 305-5437,https://health.usnews.com/best-hospitals/area/ny/new-york-presbyterian-morgan-stanley-komansky-childrens-hospital-PA6210024,,,,,,,,"New York, NY",False,,False,0,0,10,2023-01-04 20:48:35.731110,,,,,,,,
122,New York-Presbyterian-Hudson Valley Hospital,6213930,6213930,1980 Crompond Road,Cortlandt Manor,New York,NY,10567-4182,41.2926,-73.8926,"New York, NY",,(914) 737-9000,https://health.usnews.com/best-hospitals/area/ny/hudson-valley-hospital-center-6213930,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
123,New York State Psychiatric Institute,6213270,6213270,1051 Riverside Drive,New York,New York,NY,10032-1007,40.8426,-73.9446,"New York, NY",,(212) 543-5000,https://health.usnews.com/best-hospitals/area/ny/new-york-state-psychiatric-institute-6213270,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
124,Northport Veterans Affairs Medical Center,6213690,6213690,79 Middleville Road,Northport,New York,NY,11768-2200,40.8937,-73.3088,"New York, NY",,(631) 261-4400,https://health.usnews.com/best-hospitals/area/ny/northport-veterans-affairs-medical-center-6213690,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
125,NYC Health and Hospitals-Bellevue,6212630,6212630,462 First Avenue,New York,New York,NY,10016-9198,40.7392,-73.9755,"New York, NY",,(212) 562-4141,https://health.usnews.com/best-hospitals/area/ny/bellevue-hospital-center-6212630,,,,,,,,"New York, NY",False,,False,2,0,0,2023-01-04 20:48:35.731110,,,,,,,,
126,NYC Health and Hospitals-Coney Island,6210570,6210570,2601 Ocean Parkway,Brooklyn,New York,NY,11235-7795,40.5855,-73.9656,"New York, NY",,(718) 616-3000,https://health.usnews.com/best-hospitals/area/ny/coney-island-hospital-6210570,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
127,NYC Health and Hospitals-Elmhurst,6213180,6213180,Health Sciences Library,Elmhurst,New York,NY,11373-1329,40.7445,-73.8863,"New York, NY",,(718) 334-4000,https://health.usnews.com/best-hospitals/area/ny/elmhurst-hospital-center-6213180,,,,,,,,"New York, NY",False,,False,1,0,0,2023-01-04 20:48:35.731110,,,,,,,,
128,NYC Health and Hospitals-Harlem,6212830,6212830,506 Lenox Avenue,New York,New York,NY,10037-1802,40.8141,-73.9398,"New York, NY",,(212) 939-1000,https://health.usnews.com/best-hospitals/area/ny/harlem-hospital-center-6212830,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
129,NYC Health and Hospitals-Henry J Carter Specialty Hospital and Medical Center,6210036,6210036,1752 Park Avenue,New York,New York,NY,10035,40.8030225,-73.9411667,"New York, NY",,(646) 686-0000,https://health.usnews.com/best-hospitals/area/ny/coler-goldwater-specialty-hospital-and-nursing-facility-6210036,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
130,NYC Health and Hospitals-Jacobi,6212700,6212700,1400 Pelham Parkway South,Bronx,New York,NY,10461-1197,40.8547,-73.8464,"New York, NY",,(718) 918-5000,https://health.usnews.com/best-hospitals/area/ny/jacobi-medical-center-6212700,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
131,NYC Health and Hospitals-Kings County,6210690,6210690,451 Clarkson Avenue,Brooklyn,New York,NY,11203-2054,40.6567,-73.9462,"New York, NY",,(718) 245-3131,https://health.usnews.com/best-hospitals/area/ny/kings-county-hospital-center-6210690,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
132,NYC Health and Hospitals-Lincoln,6213010,6213010,234 East 149th Street,Bronx,New York,NY,10451-5504,40.8169,-73.9244,"New York, NY",,(718) 579-5000,https://health.usnews.com/best-hospitals/area/ny/lincoln-medical-and-mental-health-center-6213010,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
133,NYC Health and Hospitals-Metropolitan,6213070,6213070,1901 First Avenue,New York,New York,NY,10029-7404,40.7852,-73.945,"New York, NY",,(212) 423-6262,https://health.usnews.com/best-hospitals/area/ny/metropolitan-hospital-center-6213070,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
134,NYC Health and Hospitals-North Central Bronx,6210395,6210395,3424 Kossuth Avenue,Bronx,New York,NY,10467-2489,40.8804,-73.8809,"New York, NY",,(718) 519-5000,https://health.usnews.com/best-hospitals/area/ny/north-central-bronx-hospital-6210395,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
135,NYC Health and Hospitals-Queens,6212010,6212010,82-68 164th Street,Jamaica,New York,NY,11432-1104,40.7172,-73.8035,"New York, NY",,(718) 883-3000,https://health.usnews.com/best-hospitals/area/ny/queens-hospital-center-6212010,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
136,NYC Health and Hospitals-Woodhull,6210965,6210965,760 Broadway,Brooklyn,New York,NY,11206-5383,40.7004,-73.9418,"New York, NY",,(718) 963-8000,https://health.usnews.com/best-hospitals/area/ny/woodhull-medical-and-mental-health-center-6210965,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
137,Ossining Correctional Facilities Hospital,6213880,6213880,354 Hunter Street,Ossining,New York,NY,10562-5498,41.1535,-73.868,"New York, NY",,(914) 941-0108,https://health.usnews.com/best-hospitals/area/ny/ossining-correctional-facilities-hospital-6213880,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
138,Palisades Medical Center at Hackensack Meridian Health,6220425,6220425,7600 River Road,North Bergen,New Jersey,NJ,07047-6217,40.7938,-73.9964,"New York, NY",,(201) 854-5000,https://health.usnews.com/best-hospitals/area/nj/palisades-medical-center-6220425,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
139,Pascack Valley Medical Center at Hackensack Meridian Health,6221618,6221618,250 Old Hook Road,Westwood,New Jersey,NJ,07675-3123,40.9857,-74.0155,"New York, NY",,(201) 383-1035,https://health.usnews.com/best-hospitals/area/nj/hackensack-university-medical-center-at-pascack-valley-6221618,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
140,Peconic Bay Medical Center at Northwell Health,6214195,6214195,1300 Roanoke Avenue,Riverhead,New York,NY,11901-2031,40.9344,-72.6736,"New York, NY",,(631) 548-6000,https://health.usnews.com/best-hospitals/area/ny/peconic-bay-medical-center-6214195,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
141,Phelps Memorial Hospital Center at Northwell Health,6213870,6213870,701 North Broadway,Sleepy Hollow,New York,NY,10591-1020,41.1088,-73.8633,"New York, NY",,(914) 366-3000,https://health.usnews.com/best-hospitals/area/ny/phelps-memorial-hospital-center-6213870,,,,,,,,"New York, NY",False,,False,2,0,0,2023-01-04 20:48:35.731110,Phelps Memorial Hospital Center at Northwell Health,IHQCANC,43.3/100,,,,adult,2023-01-04 20:29:21.680567
142,Pilgrim Psychiatric Center,6211812,6211812,998 Crooked Hill Road,Brentwood,New York,NY,11717-1019,40.7965,-73.2815,"New York, NY",,(631) 761-3500,https://health.usnews.com/best-hospitals/area/ny/pilgrim-psychiatric-center-6211812,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
143,Plainview Hospital at Northwell Health,6213977,6213977,888 Old Country Road,Plainview,New York,NY,11803-4978,40.7751,-73.4787,"New York, NY",,(516) 719-3000,https://health.usnews.com/best-hospitals/area/ny/north-shore-university-hospital-at-plainview-6213977,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
144,Putnam Hospital,6211200,6211200,670 Stoneleigh Avenue,Carmel,New York,NY,10512-3997,41.3832,-73.6637,"New York, NY",,(845) 279-5711,https://health.usnews.com/best-hospitals/area/ny/putnam-hospital-center-6211200,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
145,Raritan Bay and Old Bridge Medical Centers at Hackensack Meridian Health,6221140,6221140,530 New Brunswick Avenue,Perth Amboy,New Jersey,NJ,08861-3654,40.5188,-74.2819,"New York, NY",,(732) 442-3700,https://health.usnews.com/best-hospitals/area/nj/raritan-bay-medical-center-6221140,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
146,Richmond University Medical Center,6210025,6210025,355 Bard Avenue,Staten Island,New York,NY,10310-1664,40.6358,-74.106,"New York, NY",,(718) 818-1234,https://health.usnews.com/best-hospitals/area/ny/richmond-university-medical-center-6210025,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
147,Riverview Medical Center at Hackensack Meridian Health,6221220,6221220,1 Riverview Plaza,Red Bank,New Jersey,NJ,07701-1864,40.3539,-74.0632,"New York, NY",,(732) 741-2700,https://health.usnews.com/best-hospitals/area/nj/riverview-medical-center-6221220,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Riverview Medical Center at Hackensack Meridian Health,IHQCANC,32.9/100,,,,adult,2023-01-04 20:29:21.680567
148,Robert Wood Johnson University Hospital Rahway,6221210,6221210,865 Stone Street,Rahway,New Jersey,NJ,07065-2797,40.6131,-74.2909,"New York, NY",,(732) 381-4200,https://health.usnews.com/best-hospitals/area/nj/robert-wood-johnson-university-hospital-rahway-6221210,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
149,Robert Wood Johnson University Hospital Somerset,6221340,6221340,110 Rehill Avenue,Somerville,New Jersey,NJ,08876-2598,40.568,-74.5949,"New York, NY",,(908) 685-2200,https://health.usnews.com/best-hospitals/area/nj/robert-wood-johnson-university-hospital-somerset-6221340,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Robert Wood Johnson University Hospital Somerset,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
150,Rockefeller University Hospital,6212910,6212910,1230 York Avenue,New York,New York,NY,10065-6399,40.7629,-73.9558,"New York, NY",,(212) 327-8000,https://health.usnews.com/best-hospitals/area/ny/rockefeller-university-hospital-6212910,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
151,Rockland Children's Psychiatric Center,6213855,6213855,599 Convent Road,Orangeburg,New York,NY,10962-1162,41.0545,-73.9774,"New York, NY",,(845) 359-7400,https://health.usnews.com/best-hospitals/area/ny/rockland-childrens-psychiatric-center-6213855,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
152,Rockland Psychiatric Center,6213860,6213860,140 Old Orangeburg Road,Orangeburg,New York,NY,10962-1157,41.0444,-73.9686,"New York, NY",,(845) 359-1000,https://health.usnews.com/best-hospitals/area/ny/rockland-psychiatric-center-6213860,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
153,Sagamore Children's Psychiatric Center,6212435,6212435,197 Half Hollow Road,Dix Hills,New York,NY,11746-5861,40.7937,-73.3841,"New York, NY",,(631) 370-1700,https://health.usnews.com/best-hospitals/area/ny/sagamore-childrens-psychiatric-center-6212435,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
154,Saint Michael's Medical Center,6220890,6220890,111 Central Avenue,Newark,New Jersey,NJ,07102-1909,40.7439,-74.1744,"New York, NY",,(973) 877-5549,https://health.usnews.com/best-hospitals/area/nj/st-michaels-medical-center-6220890,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
155,Select Specialty Hospital-Northeast New Jersey,6220024,6220024,96 Parkway,Rochelle Park,New Jersey,NJ,07662-4200,40.8977,-74.0741,"New York, NY",,(201) 221-2358,https://health.usnews.com/best-hospitals/area/nj/select-specialty-hospital-northeast-new-jersey-6220024,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
156,South Beach Psychiatric Center,6214690,6214690,777 Seaview Avenue,Staten Island,New York,NY,10305-3409,40.5819,-74.0805,"New York, NY",,(718) 667-2300,https://health.usnews.com/best-hospitals/area/ny/south-beach-psychiatric-center-6214690,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
157,Southern Ocean Medical Center at Hackensack Meridian Health,6220585,6220585,1140 Route 72 West,Manahawkin,New Jersey,NJ,08050-2499,39.7211,-74.2853,"New York, NY",,(609) 978-8900,https://health.usnews.com/best-hospitals/area/nj/southern-ocean-county-hospital-6220585,,,,,,,,"New York, NY",False,,False,1,0,0,2023-01-04 20:48:35.731110,,,,,,,,
158,South Oaks Hospital,6210150,6210150,400 Sunrise Highway,Amityville,New York,NY,11701-2508,40.6852,-73.4222,"New York, NY",,(631) 264-4000,https://health.usnews.com/best-hospitals/area/ny/south-oaks-hospital-6210150,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
159,Specialty Hospital of Central Jersey,6220031,6220031,"600 River Avenue, 4 and 5 West",Lakewood,New Jersey,NJ,08701-5237,40.073,-74.2187,"New York, NY",,(732) 942-3588,https://health.usnews.com/best-hospitals/area/nj/specialty-hospital-at-kimball-6220031,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
160,St. Barnabas Hospital,6210034,6210034,4422 Third Avenue,Bronx,New York,NY,10457-2545,40.8539,-73.8904,"New York, NY",,(718) 960-9000,https://health.usnews.com/best-hospitals/area/ny/st-barnabas-hospital-6210034,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
161,St. Catherine of Siena Hospital,6214616,6214616,50 Route 25-A,Smithtown,New York,NY,11787-1348,40.8683,-73.223,"New York, NY",,(631) 862-3000,https://health.usnews.com/best-hospitals/area/ny/st-catherine-of-siena-medical-center-6214616,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
162,St. Charles Hospital,6214055,6214055,200 Belle Terre Road,Port Jefferson,New York,NY,11777-1928,40.946,-73.0606,"New York, NY",,(631) 474-6000,https://health.usnews.com/best-hospitals/area/ny/st-charles-hospital-6214055,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
163,St. Clare's Denville Hospital,6220105,6220105,25 Pocono Road,Denville,New Jersey,NJ,07834-2954,40.8952,-74.4654,"New York, NY",,(973) 625-6000,https://health.usnews.com/best-hospitals/area/nj/st-clares-hospital-6220105,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,St. Clare's Denville Hospital,IHQCANC,17.4/100,,,,adult,2023-01-04 20:29:21.680567
164,St. John's Episcopal Hospital-South Shore,6211570,6211570,327 Beach 19th Street,Far Rockaway,New York,NY,11691-4423,40.5987,-73.7532,"New York, NY",,(718) 869-7000,https://health.usnews.com/best-hospitals/area/ny/st-johns-episcopal-hospital-6211570,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
165,St. John's Riverside Hospital,6210039,6210039,967 North Broadway,Yonkers,New York,NY,10701-1399,40.9688,-73.8863,"New York, NY",,(914) 964-4444,https://health.usnews.com/best-hospitals/area/ny/st-johns-riverside-hospital-6210039,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
166,St. Joseph Hospital-Bethpage,6210335,6210335,4295 Hempstead Turnpike,Bethpage,New York,NY,11714-5769,40.7271,-73.4789,"New York, NY",,(516) 520-2500,https://health.usnews.com/best-hospitals/area/ny/st-joseph-hospital-6210335,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
167,St. Joseph's Children's Hospital,6221120,PA6221120,703 Main Street,Paterson,New Jersey,NJ,07503-2691,40.9023,-74.1661,"New York, NY",,(973) 754-2000,https://health.usnews.com/best-hospitals/area/nj/st-josephs-childrens-hospital-paterson-nj-PA6221120,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
168,St. Joseph's Medical Center-Yonkers,6215460,6215460,127 South Broadway,Yonkers,New York,NY,10701-4006,40.9293,-73.8979,"New York, NY",,(914) 378-7000,https://health.usnews.com/best-hospitals/area/ny/st-josephs-medical-center-6215460,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
169,St. Joseph's University Medical Center,6221120,6221120,703 Main Street,Paterson,New Jersey,NJ,07503-2691,40.9023,-74.1661,"New York, NY",,(877) 757-7547,https://health.usnews.com/best-hospitals/area/nj/st-josephs-regional-medical-center-6221120,,,,,,,,"New York, NY",False,,False,1,0,0,2023-01-04 20:48:35.731110,St. Joseph's University Medical Center,IHQCANC,35.9/100,,,,adult,2023-01-04 20:29:21.680567
170,St. Mary's General Hospital,6221070,6221070,350 Boulevard,Passaic,New Jersey,NJ,07055-2840,40.8591,-74.1373,"New York, NY",,(973) 365-4300,https://health.usnews.com/best-hospitals/area/nj/st-marys-hospital-6221070,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
171,Stony Brook Children's Hospital,6214775,PA6214775,101 Nicolls Rd.,Stony Brook,New York,NY,11794-8410,40.9080137,-73.1152105,"New York, NY",,(631) 444-5437,https://health.usnews.com/best-hospitals/area/ny/stony-brook-long-island-childrens-hospital-PA6214775,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
172,St. Peter's University Hospital,6220950,6220950,254 Easton Avenue,New Brunswick,New Jersey,NJ,08901-1780,40.5015,-74.4595,"New York, NY",,(732) 745-8600,https://health.usnews.com/best-hospitals/area/nj/st-peters-university-hospital-6220950,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,St. Peter's University Hospital,IHQCANC,32.0/100,,,,adult,2023-01-04 20:29:21.680567
173,Summit Oaks Hospital,6221360,6221360,19 Prospect Street,Summit,New Jersey,NJ,07901-2530,40.7141,-74.3626,"New York, NY",,(908) 522-7000,https://health.usnews.com/best-hospitals/area/nj/summit-oaks-hospital-6221360,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
174,SUNY Downstate Medical Center University Hospital,6210469,6210469,450 Clarkson Avenue,Brooklyn,New York,NY,11203-2012,40.6557,-73.9458,"New York, NY",,(718) 270-1000,https://health.usnews.com/best-hospitals/area/ny/suny-downstate-medical-center-university-hospital-6210469,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,SUNY Downstate Medical Center University Hospital,IHQCANC,25.4/100,,,,adult,2023-01-04 20:29:21.680567
175,Terence Cardinal Cooke Health Care Center,6210266,6210266,1249 Fifth Avenue,New York,New York,NY,10029-4413,40.7936,-73.9506,"New York, NY",,(212) 360-1000,https://health.usnews.com/best-hospitals/area/ny/terence-cardinal-cooke-health-care-center-6210266,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
176,Trinitas Regional Medical Center,6220001,6220001,225 Williamson Street,Elizabeth,New Jersey,NJ,07202-3625,40.6598,-74.214,"New York, NY",,(908) 994-5000,https://health.usnews.com/best-hospitals/area/nj/trinitas-regional-medical-center-6220001,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
177,University Behavioral Healthcare-Piscataway,6221165,6221165,671 Hoes Lane West,Piscataway,New Jersey,NJ,08854-8021,40.5256,-74.4706,"New York, NY",,(732) 235-5900,https://health.usnews.com/best-hospitals/area/nj/university-of-medicine-and-dentistry-of-new-jersey-university-behavi-6221165,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
178,University Hospital-Newark,6220785,6220785,150 Bergen Street,Newark,New Jersey,NJ,07103-2496,40.7406,-74.1911,"New York, NY",,(973) 972-4300,https://health.usnews.com/best-hospitals/area/nj/university-hospital-6220785,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
179,Veterans Affairs Hudson Valley Health Care System-Montrose,6210028,6210028,2094 Albany Post Road,Montrose,New York,NY,10548-1454,41.2443,-73.926,"New York, NY",,(914) 737-4400,https://health.usnews.com/best-hospitals/area/ny/veterans-affairs-hudson-valley-health-care-system-fd-roosevelt-hosp-6210028,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
180,Veterans Affairs New Jersey Health Care System-East Orange,6220006,6220006,385 Tremont Avenue,East Orange,New Jersey,NJ,07018-1095,40.7527,-74.2361,"New York, NY",,(973) 676-1000,https://health.usnews.com/best-hospitals/area/nj/veterans-affairs-new-jersey-health-care-system-6220006,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
181,Veterans Affairs New York Harbor Healthcare System-Brooklyn,6210035,6210035,800 Poly Place,Brooklyn,New York,NY,11209-7104,40.6068,-74.0212,"New York, NY",,(718) 630-3500,https://health.usnews.com/best-hospitals/area/ny/veterans-administration-new-york-harbor-healthcare-system-6210035,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
182,Westchester Medical Center,6215150,6215150,100 Woods Road,Valhalla,New York,NY,10595-1530,41.0862,-73.806,"New York, NY",,(914) 493-7000,https://health.usnews.com/best-hospitals/area/ny/westchester-medical-center-6215150,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Westchester Medical Center,IHQCANC,41.0/100,,,,adult,2023-01-04 20:29:21.680567
183,Wyckoff Heights Medical Center,6210970,PA6210970,374 Stockholm Street,Brooklyn,New York,NY,11237-4006,40.7043,-73.9181,"New York, NY",,(718) 963-7272,https://health.usnews.com/best-hospitals/area/ny/wyckoff-heights-medical-center-PA6210970,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
184,Wyckoff Heights Medical Center,6210970,6210970,374 Stockholm Street,Brooklyn,New York,NY,11237-4006,40.7043,-73.9181,"New York, NY",,(718) 963-7272,https://health.usnews.com/best-hospitals/area/ny/wyckoff-heights-medical-center-6210970,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
