,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
172,Ochsner Medical Center,6720631,6720631,IHQCANC,39.8/100,,,,adult,2023-01-04 20:29:21.680567
173,St. Luke's University Hospital-Bethlehem Campus,6230049,6230049,IHQCANC,39.8/100,,,,adult,2023-01-04 20:29:21.680567
174,University of Illinois Hospital,6430553,6430553,IHQCANC,39.8/100,,,,adult,2023-01-04 20:29:21.680567
175,Advocate Good Shepherd Hospital,6430160,6430160,IHQCANC,39.7/100,,,,adult,2023-01-04 20:29:21.680567
176,Cooperman Barnabas Medical Center,6220800,6220800,IHQCANC,39.7/100,,,,adult,2023-01-04 20:29:21.680567
177,Ascension St. Alexius Hospital,6431926,6431926,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
178,Carle Foundation Hospital,6433070,6433070,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
179,Kaiser Permanente San Francisco Medical Center,6930015,6930015,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
180,Piedmont Fayette Hospital,6380024,6380024,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
181,Pennsylvania Hospital,6230022,6230022,IHQCANC,39.4/100,,,,adult,2023-01-04 20:29:21.680567
182,Swedish First Hill Hospital,6910006,6910006,IHQCANC,39.4/100,,,,adult,2023-01-04 20:29:21.680567
183,ECU Health Medical Center,6360690,6360690,IHQCANC,39.2/100,,,,adult,2023-01-04 20:29:21.680567
184,HonorHealth Scottsdale Shea Medical Center,6860395,6860395,IHQCANC,39.1/100,,,,adult,2023-01-04 20:29:21.680567
185,UF Health Jacksonville,6390082,6390082,IHQCANC,39.1/100,,,,adult,2023-01-04 20:29:21.680567
186,Chester County Hospital,6233400,6233400,IHQCANC,39.0/100,,,,adult,2023-01-04 20:29:21.680567
187,Cleveland Clinic Akron General,6410010,6410010,IHQCANC,39.0/100,,,,adult,2023-01-04 20:29:21.680567
188,Research Medical Center,6630435,6630435,IHQCANC,38.9/100,,,,adult,2023-01-04 20:29:21.680567
189,UPMC Passavant,6232540,6232540,IHQCANC,38.9/100,,,,adult,2023-01-04 20:29:21.680567
190,Virginia Mason Medical Center,6910780,6910780,IHQCANC,38.9/100,,,,adult,2023-01-04 20:29:21.680567
191,Kaiser Permanente Sunnyside Medical Center,6920045,6920045,IHQCANC,38.8/100,,,,adult,2023-01-04 20:29:21.680567
192,Memorial Hermann Hospital,6741890,6741890,IHQCANC,38.8/100,,,,adult,2023-01-04 20:29:21.680567
193,Ascension Providence Hospital-Southfield,6440780,6440780,IHQCANC,38.7/100,,,,adult,2023-01-04 20:29:21.680567
194,Sentara Virginia Beach General Hospital,6341162,6341162,IHQCANC,38.7/100,,,,adult,2023-01-04 20:29:21.680567
195,Baptist Memorial Hospital-Memphis,6520681,6520681,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
196,Kaiser Permanente Fontana and Ontario Medical Centers,6930737,6930737,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
197,Providence St. Jude Medical Center,6930823,6930823,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
198,SCL Health St. Joseph Hospital,6840400,6840400,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
199,Providence Mission Hospital-Mission Viejo and Laguna Beach,6931915,6931915,IHQCANC,38.5/100,,,,adult,2023-01-04 20:29:21.680567
200,UMass Memorial Medical Center,6141095,6141095,IHQCANC,38.4/100,,,,adult,2023-01-04 20:29:21.680567
201,Brigham and Women's Faulkner Hospital,6140310,6140310,IHQCANC,38.3/100,,,,adult,2023-01-04 20:29:21.680567
202,ChristianaCare Hospitals,6310120,6310120,IHQCANC,38.3/100,,,,adult,2023-01-04 20:29:21.680567
203,Jefferson Health-Abington Hospital,6230010,6230010,IHQCANC,38.3/100,,,,adult,2023-01-04 20:29:21.680567
204,Inova Loudoun Hospital,6340400,6340400,IHQCANC,38.2/100,,,,adult,2023-01-04 20:29:21.680567
205,Kaiser Permanente Downey Medical Center,6930243,6930243,IHQCANC,38.2/100,,,,adult,2023-01-04 20:29:21.680567
206,Johns Hopkins Bayview Medical Center,6320050,6320050,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
207,Kaiser Permanente San Diego Zion and San Diego Medical Center,6931173,6931173,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
208,Providence Alaska Medical Center,6940020,6940020,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
209,Providence St. Joseph Hospital-Orange,6932300,6932300,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
210,Providence St. Joseph Medical Center-Burbank,6930340,6930340,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
211,Advent Health Shawnee Mission,6670783,6670783,IHQCANC,38.0/100,,,,adult,2023-01-04 20:29:21.680567
212,Porter Adventist Hospital,6840360,6840360,IHQCANC,38.0/100,,,,adult,2023-01-04 20:29:21.680567
213,Billings Clinic,6810020,6810020,IHQCANC,37.9/100,,,,adult,2023-01-04 20:29:21.680567
214,Memorial Regional Hospital,6390295,6390295,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
215,Methodist Dallas Medical Center,6741018,6741018,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
216,Penn Medicine Princeton Medical Center,6221190,6221190,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
217,St. David's South Austin Medical Center,6740095,6740095,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
218,Banner Estrella Medical Center,6860036,6860036,IHQCANC,37.7/100,,,,adult,2023-01-04 20:29:21.680567
219,Swedish Medical Center,6840530,6840530,IHQCANC,37.7/100,,,,adult,2023-01-04 20:29:21.680567
220,Texas Health Harris Methodist Hospital Southwest,6741445,6741445,IHQCANC,37.7/100,,,,adult,2023-01-04 20:29:21.680567
221,Advocate Condell Medical Center,6432080,6432080,IHQCANC,37.5/100,,,,adult,2023-01-04 20:29:21.680567
222,Geisinger Wyoming Valley Medical Center,6232725,6232725,IHQCANC,37.5/100,,,,adult,2023-01-04 20:29:21.680567
223,Jewish Hospital-Mercy Health,6419060,6419060,IHQCANC,37.5/100,,,,adult,2023-01-04 20:29:21.680567
224,Chesapeake Regional Medical Center,6340145,6340145,IHQCANC,37.4/100,,,,adult,2023-01-04 20:29:21.680567
225,Baylor Scott and White All Saints Medical Center-Fort Worth,6741390,6741390,IHQCANC,37.3/100,,,,adult,2023-01-04 20:29:21.680567
226,Medical City Plano,6742865,6742865,IHQCANC,37.3/100,,,,adult,2023-01-04 20:29:21.680567
227,New York-Presbyterian Brooklyn Methodist Hospital,6210555,6210555,IHQCANC,37.3/100,,,,adult,2023-01-04 20:29:21.680567
228,WellStar Kennestone Hospital,6380775,6380775,IHQCANC,37.3/100,,,,adult,2023-01-04 20:29:21.680567
229,Main Line Health Lankenau Medical Center,6231970,6231970,IHQCANC,37.2/100,,,,adult,2023-01-04 20:29:21.680567
230,Northside Hospital Cherokee,6380382,6380382,IHQCANC,37.1/100,,,,adult,2023-01-04 20:29:21.680567
231,Salem Hospital,6920708,6920708,IHQCANC,37.1/100,,,,adult,2023-01-04 20:29:21.680567
232,Advocate Good Samaritan Hospital,6431475,6431475,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
233,Cleveland Clinic Fairview Hospital,6410710,6410710,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
234,Inova Alexandria Hospital,6340020,6340020,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
235,Spectrum Health-Butterworth and Blodgett Campuses,6440021,6440021,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
236,St. Peter's Hospital-Albany,6210070,6210070,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
237,Trinity Health Ann Arbor Hospital,6440087,6440087,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
238,Trinity Health Grand Rapids Hospital,6441210,6441210,IHQCANC,36.9/100,,,,adult,2023-01-04 20:29:21.680567
239,Beaumont Hospital-Troy,6442463,6442463,IHQCANC,36.8/100,,,,adult,2023-01-04 20:29:21.680567
240,Bridgeport Hospital,6160002,6160002,IHQCANC,36.8/100,,,,adult,2023-01-04 20:29:21.680567
241,Sanford USD Medical Center,6650007,6650007,IHQCANC,36.8/100,,,,adult,2023-01-04 20:29:21.680567
242,OhioHealth Grant Medical Center,6411010,6411010,IHQCANC,36.7/100,,,,adult,2023-01-04 20:29:21.680567
243,St. Luke's Hospital-Chesterfield,6630075,6630075,IHQCANC,36.7/100,,,,adult,2023-01-04 20:29:21.680567
244,Texas Health Presbyterian Hospital Plano,6740945,6740945,IHQCANC,36.7/100,,,,adult,2023-01-04 20:29:21.680567
245,Overlook Medical Center,6221370,6221370,IHQCANC,36.6/100,,,,adult,2023-01-04 20:29:21.680567
246,Sinai Hospital of Baltimore,6320280,6320280,IHQCANC,36.6/100,,,,adult,2023-01-04 20:29:21.680567
247,Virtua Voorhees Hospital,6221600,6221600,IHQCANC,36.6/100,,,,adult,2023-01-04 20:29:21.680567
248,Albany Medical Center,6210030,6210030,IHQCANC,36.5/100,,,,adult,2023-01-04 20:29:21.680567
249,Good Samaritan University Hospital,6215295,6215295,IHQCANC,36.5/100,,,,adult,2023-01-04 20:29:21.680567
250,Elmhurst Hospital,6431620,6431620,IHQCANC,36.4/100,,,,adult,2023-01-04 20:29:21.680567
251,UCHealth Medical Center of the Rockies,6840033,6840033,IHQCANC,36.4/100,,,,adult,2023-01-04 20:29:21.680567
252,University Hospital-Augusta,6380270,6380270,IHQCANC,36.4/100,,,,adult,2023-01-04 20:29:21.680567
253,Baptist Health Floyd,6421045,6421045,IHQCANC,36.2/100,,,,adult,2023-01-04 20:29:21.680567
254,Christian Hospital,6630185,6630185,IHQCANC,36.2/100,,,,adult,2023-01-04 20:29:21.680567
255,John H. Stroger Jr. Hospital of Cook County,6430600,6430600,IHQCANC,36.2/100,,,,adult,2023-01-04 20:29:21.680567
256,Ascension St. John Hospital,6440805,6440805,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
257,Community Hospital of the Monterey Peninsula,6930385,6930385,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
258,Grady Memorial Hospital,6380130,6380130,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
259,Huntington Hospital at Northwell Health,6211880,6211880,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
260,OhioHealth Riverside Methodist Hospital,6411110,6411110,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
261,PIH Health Good Samaritan Hospital,6931540,6931540,IHQCANC,36.1/100,,,,adult,2023-01-04 20:29:21.680567
262,TidalHealth Peninsula Regional Hospital,6320785,6320785,IHQCANC,36.0/100,,,,adult,2023-01-04 20:29:21.680567
263,Prisma Health Greenville Memorial Hospital,6370323,6370323,IHQCANC,35.9/100,,,,adult,2023-01-04 20:29:21.680567
264,Providence St. Vincent Medical Center,6920540,6920540,IHQCANC,35.9/100,,,,adult,2023-01-04 20:29:21.680567
265,Renown Regional Medical Center,6880130,6880130,IHQCANC,35.9/100,,,,adult,2023-01-04 20:29:21.680567
266,St. Joseph's University Medical Center,6221120,6221120,IHQCANC,35.9/100,,,,adult,2023-01-04 20:29:21.680567
267,Ascension Seton Medical Center Austin,6740200,6740200,IHQCANC,35.8/100,,,,adult,2023-01-04 20:29:21.680567
268,Mount Carmel St. Ann's Hospital,6411060,6411060,IHQCANC,35.8/100,,,,adult,2023-01-04 20:29:21.680567
269,Swedish Hospital,6431180,6431180,IHQCANC,35.8/100,,,,adult,2023-01-04 20:29:21.680567
270,Tulane Health System-New Orleans,6720032,6720032,IHQCANC,35.8/100,,,,adult,2023-01-04 20:29:21.680567
271,Ascension Providence Rochester Hospital,6442198,6442198,IHQCANC,35.7/100,,,,adult,2023-01-04 20:29:21.680567
272,Holy Name Medical Center,6221390,6221390,IHQCANC,35.7/100,,,,adult,2023-01-04 20:29:21.680567
273,UCHealth Memorial Hospital,6840190,6840190,IHQCANC,35.6/100,,,,adult,2023-01-04 20:29:21.680567
274,Littleton Adventist Hospital,6840805,6840805,IHQCANC,35.5/100,,,,adult,2023-01-04 20:29:21.680567
275,UPMC Western Maryland,6320206,6320206,IHQCANC,35.5/100,,,,adult,2023-01-04 20:29:21.680567
276,Geisinger Medical Center,6230550,6230550,IHQCANC,35.4/100,,,,adult,2023-01-04 20:29:21.680567
277,Houston Methodist Sugar Land Hospital,6740138,6740138,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
278,Mount Sinai South Nassau Hospital,6213735,6213735,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
279,Northwest Community Hospital,6432485,6432485,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
280,Sharp Grossmont Hospital,6930887,6930887,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
281,UPMC Hamot,6230760,6230760,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
282,Vassar Brothers Medical Center,6214140,6214140,IHQCANC,35.3/100,,,,adult,2023-01-04 20:29:21.680567
283,Ascension Macomb-Oakland Hospital,6440489,6440489,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
284,Intermountain Medical Center,6870141,6870141,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
285,Mayo Clinic Eau Claire,6450310,6450310,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
286,Medical Center of Aurora,6840014,6840014,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
287,Monmouth Medical Center-Long Branch Campus,6220560,6220560,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
288,South Shore University Hospital at Northwell Health,6210280,6210280,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
289,Sparks Regional Medical Center,6710220,6710220,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
290,UPMC Harrisburg,6230039,6230039,IHQCANC,35.1/100,,,,adult,2023-01-04 20:29:21.680567
291,Huntington Hospital,6932350,6932350,IHQCANC,35.0/100,,,,adult,2023-01-04 20:29:21.680567
292,Methodist Hospital of Southern California,6931630,6931630,IHQCANC,35.0/100,,,,adult,2023-01-04 20:29:21.680567
293,Methodist Hospital-San Antonio,6743122,6743122,IHQCANC,35.0/100,,,,adult,2023-01-04 20:29:21.680567
294,University of Cincinnati Medical Center,6410435,6410435,IHQCANC,35.0/100,,,,adult,2023-01-04 20:29:21.680567
295,Valley Hospital,6221235,6221235,IHQCANC,35.0/100,,,,adult,2023-01-04 20:29:21.680567
296,Englewood Hospital,6220280,6220280,IHQCANC,34.9/100,,,,adult,2023-01-04 20:29:21.680567
297,Parkview Regional Medical Center,6429153,6429153,IHQCANC,34.9/100,,,,adult,2023-01-04 20:29:21.680567
298,Santa Barbara Cottage Hospital,6933375,6933375,IHQCANC,34.9/100,,,,adult,2023-01-04 20:29:21.680567
299,Ascension St. Vincent Hospital,6420715,6420715,IHQCANC,34.8/100,,,,adult,2023-01-04 20:29:21.680567
300,Bethesda North Hospital,6410382,6410382,IHQCANC,34.8/100,,,,adult,2023-01-04 20:29:21.680567
301,Johns Hopkins Medicine-Sibley Memorial Hospital,6330210,6330210,IHQCANC,34.8/100,,,,adult,2023-01-04 20:29:21.680567
302,Saratoga Hospital,6214520,6214520,IHQCANC,34.8/100,,,,adult,2023-01-04 20:29:21.680567
303,St. David's Medical Center,6740190,6740190,IHQCANC,34.8/100,,,,adult,2023-01-04 20:29:21.680567
304,St. Joseph's Hospital and Medical Center,6860280,6860280,IHQCANC,34.8/100,,,,adult,2023-01-04 20:29:21.680567
305,Memorial Hermann Memorial City Medical Center,6741970,6741970,IHQCANC,34.6/100,,,,adult,2023-01-04 20:29:21.680567
306,UCHealth Poudre Valley Hospital,6840018,6840018,IHQCANC,34.6/100,,,,adult,2023-01-04 20:29:21.680567
307,Johns Hopkins Medicine-Suburban Hospital,6320350,6320350,IHQCANC,34.5/100,,,,adult,2023-01-04 20:29:21.680567
308,Baystate Medical Center,6141955,6141955,IHQCANC,34.4/100,,,,adult,2023-01-04 20:29:21.680567
309,Ocean University Medical Center at Hackensack Meridian Health,6221170,6221170,IHQCANC,34.4/100,,,,adult,2023-01-04 20:29:21.680567
310,Willis-Knighton Medical Center,6720877,6720877,IHQCANC,34.4/100,,,,adult,2023-01-04 20:29:21.680567
311,Bronson Methodist Hospital,6441550,6441550,IHQCANC,34.3/100,,,,adult,2023-01-04 20:29:21.680567
312,Carilion Roanoke Memorial Hospital,6341040,6341040,IHQCANC,34.3/100,,,,adult,2023-01-04 20:29:21.680567
313,Kaiser Permanente Moanalua Medical Center,6950330,6950330,IHQCANC,34.3/100,,,,adult,2023-01-04 20:29:21.680567
314,Los Alamitos Medical Center,693139A,693139A,IHQCANC,34.3/100,,,,adult,2023-01-04 20:29:21.680567
315,Main Line Health Bryn Mawr Hospital,6230260,6230260,IHQCANC,34.3/100,,,,adult,2023-01-04 20:29:21.680567
316,Banner Desert Medical Center,6860016,6860016,IHQCANC,34.2/100,,,,adult,2023-01-04 20:29:21.680567
317,Jackson Memorial Hospital,6390573,6390573,IHQCANC,34.1/100,,,,adult,2023-01-04 20:29:21.680567
318,St. Joseph's Hospital-Tampa,6390053,6390053,IHQCANC,34.1/100,,,,adult,2023-01-04 20:29:21.680567
319,University of Maryland Baltimore Washington Medical Center,6320569,6320569,IHQCANC,34.1/100,,,,adult,2023-01-04 20:29:21.680567
320,Christus Southeast Texas Hospital-St. Elizabeth,6740258,6740258,IHQCANC,33.9/100,,,,adult,2023-01-04 20:29:21.680567
321,East Jefferson General Hospital,6720418,6720418,IHQCANC,33.9/100,,,,adult,2023-01-04 20:29:21.680567
322,St. Mary's Regional Medical Center-Reno,6880110,6880110,IHQCANC,33.9/100,,,,adult,2023-01-04 20:29:21.680567
323,Legacy Good Samaritan Medical Center,6920418,6920418,IHQCANC,33.8/100,,,,adult,2023-01-04 20:29:21.680567
324,Moses H. Cone Memorial Hospital,6360002,6360002,IHQCANC,33.8/100,,,,adult,2023-01-04 20:29:21.680567
325,Overlake Medical Center and Clinics,6910060,6910060,IHQCANC,33.8/100,,,,adult,2023-01-04 20:29:21.680567
326,Baptist Medical Center Jacksonville,6390308,6390308,IHQCANC,33.7/100,,,,adult,2023-01-04 20:29:21.680567
327,Kaiser Permanente Anaheim and Irvine Medical Centers,6930075,6930075,IHQCANC,33.7/100,,,,adult,2023-01-04 20:29:21.680567
328,Northern Westchester Hospital at Northwell Health,6212500,6212500,IHQCANC,33.7/100,,,,adult,2023-01-04 20:29:21.680567
329,South Shore Hospital-South Weymouth,6141900,6141900,IHQCANC,33.7/100,,,,adult,2023-01-04 20:29:21.680567
330,Texas Health Harris Methodist Hospital Fort Worth,6741440,6741440,IHQCANC,33.7/100,,,,adult,2023-01-04 20:29:21.680567
331,Mount Sinai Medical Center,6390640,6390640,IHQCANC,33.6/100,,,,adult,2023-01-04 20:29:21.680567
332,Northwestern Medicine Palos Hospital,6431060,6431060,IHQCANC,33.6/100,,,,adult,2023-01-04 20:29:21.680567
333,Scripps Memorial Hospital-Encinitas,6930648,6930648,IHQCANC,33.6/100,,,,adult,2023-01-04 20:29:21.680567
334,Doctors Hospital at Renaissance,6740232,6740232,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
335,MemorialCare Saddleback Medical Center,6930272,6930272,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
336,Mercy Health-Fairfield Hospital,6410855,6410855,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
337,New York-Presbyterian Queens Hospital,6211595,6211595,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
338,Our Lady of the Lake Regional Medical Center,6720028,6720028,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
339,St. Luke's Regional Medical Center,6820050,6820050,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
340,St. Mary's Medical Center-Huntington,6350400,6350400,IHQCANC,33.5/100,,,,adult,2023-01-04 20:29:21.680567
341,MultiCare Tacoma General Hospital,6911018,6911018,IHQCANC,33.4/100,,,,adult,2023-01-04 20:29:21.680567
342,St. Alphonsus Regional Medical Center,6820040,6820040,IHQCANC,33.4/100,,,,adult,2023-01-04 20:29:21.680567
343,AdventHealth Hinsdale,6431920,6431920,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
344,Allegheny General Hospital,6230041,6230041,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
345,Ascension Alexian Brothers Hospital,6431613,6431613,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
346,Christus Mother Frances Hospital-Tyler,6743570,6743570,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
347,Lahey Hospital and Medical Center,6140690,6140690,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
348,Menorah Medical Center,6670020,6670020,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
349,Mercy San Juan Medical Center,6930037,6930037,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
350,Summa Health-Akron Campus,6410012,6410012,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
351,Virginia Mason Franciscan Health-St. Joseph Medical Center,6911060,6911060,IHQCANC,33.3/100,,,,adult,2023-01-04 20:29:21.680567
352,Indiana University Health Arnett Hospital,6420076,6420076,IHQCANC,33.2/100,,,,adult,2023-01-04 20:29:21.680567
353,JFK University Medical Center at Hackensack Meridian Health,6220247,6220247,IHQCANC,33.2/100,,,,adult,2023-01-04 20:29:21.680567
354,Legacy Meridian Park Medical Center,6920805,6920805,IHQCANC,33.2/100,,,,adult,2023-01-04 20:29:21.680567
